State,District,Market,Commodity,Min Price,Max Price,Modal Price
Andhra Pradesh,Chittor,Palamaner,Cluster beans,2000,3000,2500
Andhra Pradesh,East Godavari,Sampara,Paddy(Dhan)(Common),2183,2193,2183
Andhra Pradesh,West Godavari,Chintalapudi,Lemon,4000,5000,4500
Assam,Karbi Anglong,Sariahjan,Bhindi(Ladies Finger),1800,2000,2000
Assam,Karbi Anglong,Sariahjan,Cabbage,1800,2000,2000
Assam,Karbi Anglong,Sariahjan,Lemon,533.6,733.7,667
Assam,Karbi Anglong,Sariahjan,Tomato,3800,4300,4000
Assam,MORIGAON,Boralimari,Brinjal,3000,3500,3200
Assam,MORIGAON,Boralimari,Cabbage,2400,2700,2500
Assam,MORIGAON,Boralimari,Green Chilli,7500,8500,8000
Assam,MORIGAON,Boralimari,Tomato,4000,4500,4200
Assam,Nalbari,Dhamdhama,Bottle gourd,1333.4,1666.75,1333.4
Assam,Nalbari,Dhamdhama,Green Chilli,7000,8500,7000
Assam,Nalbari,Dhamdhama,Tomato,4200,4300,4200
Assam,Sibsagar,Sibsagar,Green Chilli,9000,10000,10000
Bihar,Bhojpur,Aarah,Potato,2500,2700,2600
Bihar,Buxar,Brahmpur,Onion,3500,5500,4500
Bihar,Rohtas,Kochas (Balthari),Onion,4500,4700,4600
Chattisgarh,Bijapur,Bhopalpattnam,Mahua,2000,2500,2200
Chattisgarh,Dantewada,Gidam,Paddy(Dhan)(Common),1700,1900,1800
Chattisgarh,Durg,Durg,Apple,12000,14000,14000
Chattisgarh,Durg,Durg,Banana - Green,1500,1600,1500
Chattisgarh,Durg,Durg,Bottle gourd,1600,2000,1600
Chattisgarh,Durg,Durg,Cabbage,1600,1700,1600
Chattisgarh,Durg,Durg,Lemon,10000,12000,10000
Chattisgarh,Durg,Durg,Mousambi(Sweet Lime),5000,6000,6000
Chattisgarh,Durg,Durg,Papaya (Raw),1600,1800,1800
Chattisgarh,Kanker,Lakhanpuri,Paddy(Dhan)(Common),2000,2000,2000
Chattisgarh,Kondagaon,Kondagoan,Maize,2200,2200,2200
Chattisgarh,Kondagaon,Pharasgaon,Paddy(Dhan)(Common),1800,1800,1800
Chattisgarh,Rajnandgaon,Chhuria,Paddy(Dhan)(Common),2200,2240,2220
Chattisgarh,Rajnandgaon,Rajnandgaon,Banana,3000,4000,3500
Chattisgarh,Rajnandgaon,Rajnandgaon,Potato,2200,3000,2600
Gujarat,Ahmedabad,Viramgam,Cotton,6450,7075,6760
Gujarat,Amreli,Amreli,Cotton,4750,8225,7600
Gujarat,Amreli,Amreli,Soyabean,4175,4520,4190
Gujarat,Amreli,Babra,Cotton,6675,8075,7425
Gujarat,Amreli,Bagasara,Corriander seed,5000,6565,5782
Gujarat,Amreli,Rajula,Bajra(Pearl Millet/Cumbu),2310,2645,2478
Gujarat,Amreli,Rajula,"Sesamum(Sesame,Gingelly,Til)",10000,13500,11750
Gujarat,Anand,Khambhat(Veg Yard Khambhat),Brinjal,2000,3000,2500
Gujarat,Anand,Khambhat(Veg Yard Khambhat),Drumstick,5000,7000,6000
Gujarat,Banaskanth,Deesa(Deesa Veg Yard),Guar,7500,8000,7750
Gujarat,Banaskanth,Deesa(Deesa Veg Yard),Lemon,7000,7500,7250
Gujarat,Banaskanth,Deesa(Deesa Veg Yard),Papaya,3000,3500,3250
Gujarat,Banaskanth,Dhanera,Barley (Jau),2635,2635,2635
Gujarat,Banaskanth,Dhanera,Mustard,5500,6150,5795
Gujarat,Banaskanth,Dhanera,Rajgir,5375,6625,6120
Gujarat,Banaskanth,Palanpur,Bajra(Pearl Millet/Cumbu),2155,2400,2277
Gujarat,Banaskanth,Palanpur,Castor Seed,6450,6570,6510
Gujarat,Banaskanth,Palanpur,Mustard,5825,5955,5890
Gujarat,Banaskanth,Palanpur,Wheat,2675,2800,2737
Gujarat,Bhavnagar,Bhavnagar,Bajra(Pearl Millet/Cumbu),2155,2445,2300
Gujarat,Bhavnagar,Bhavnagar,Groundnut,4505,5000,4750
Gujarat,Chhota Udaipur,Bodeliu,Cotton,6850,7100,7000
Gujarat,Dahod,Dahod,Bajra(Pearl Millet/Cumbu),2000,2350,2250
Gujarat,Dahod,Dahod,Maize,2600,2850,2750
Gujarat,Dahod,Dahod,Soyabean,4750,4845,4800
Gujarat,Dahod,Dahod(Veg. Market),Bhindi(Ladies Finger),200,1000,500
Gujarat,Dahod,Dahod(Veg. Market),Green Chilli,1200,3500,3000
Gujarat,Dahod,Dahod(Veg. Market),Lemon,2000,7000,5000
Gujarat,Dahod,Dahod(Veg. Market),Mint(Pudina),4000,5000,4500
Gujarat,Gandhinagar,"Kalol(Veg,Market,Kalol)",Bitter gourd,750,2000,1500
Gujarat,Gandhinagar,"Kalol(Veg,Market,Kalol)",Cauliflower,1500,3500,2500
Gujarat,Gandhinagar,"Kalol(Veg,Market,Kalol)",Green Chilli,1500,3000,2250
Gujarat,Gandhinagar,"Kalol(Veg,Market,Kalol)",Onion Green,1750,2500,2000
Gujarat,Gandhinagar,"Kalol(Veg,Market,Kalol)",Tomato,2250,3400,2750
Gujarat,Gandhinagar,Mansa(Manas Veg Yard),Brinjal,1000,2000,2000
Gujarat,Gandhinagar,Mansa(Manas Veg Yard),Ridgeguard(Tori),1000,2000,1000
Gujarat,Gir Somnath,Veraval,Wheat,2355,2705,2505
Gujarat,Jamnagar,Jamnagar,Beans,7500,9200,8650
Gujarat,Jamnagar,Jamnagar,Cummin Seed(Jeera),18250,24325,21125
Gujarat,Jamnagar,Jamnagar,Ground Nut Seed,5000,5750,5310
Gujarat,Junagarh,Visavadar,Black Gram (Urd Beans)(Whole),7075,8505,7790
Gujarat,Junagarh,Visavadar,"Sesamum(Sesame,Gingelly,Til)",16000,18000,17000
Gujarat,Junagarh,Visavadar,Soyabean,4280,4510,4395
Gujarat,Kachchh,Rapar,Cummin Seed(Jeera),20260,24575,22415
Gujarat,Kheda,Kapadvanj,Bhindi(Ladies Finger),400,600,500
Gujarat,Mehsana,Kadi,Mustard,5375,5830,5700
Gujarat,Mehsana,Unjha,Cummin Seed(Jeera),19875,27600,24375
Gujarat,Mehsana,Unjha,Isabgul (Psyllium),12500,14355,13300
Gujarat,Mehsana,Unjha,Mustard,5075,5075,5075
Gujarat,Mehsana,Unjha,"Sesamum(Sesame,Gingelly,Til)",8125,19000,12375
Gujarat,Mehsana,Visnagar,Castor Seed,6400,6592,6496
Gujarat,Mehsana,Visnagar,Mustard,5250,6225,5737
Gujarat,Navsari,Navsari,Chikoos(Sapota),2500,3000,2750
Gujarat,Navsari,Navsari,Green Chilli,2500,5000,3750
Gujarat,Navsari,Navsari,Lemon,7000,7500,7250
Gujarat,Navsari,Navsari,Methi(Leaves),4000,5000,4500
Gujarat,Navsari,Navsari,Tomato,2000,4750,3375
Gujarat,Panchmahals,Morva Hafad,Paddy(Dhan)(Common),1500,2300,1900
Gujarat,Panchmahals,Morva Hafad,Wheat,2300,2500,2400
Gujarat,Patan,Sami,Cummin Seed(Jeera),22500,24750,23750
Gujarat,Patan,Sami,Guar Seed(Cluster Beans Seed),5250,5500,5375
Gujarat,Patan,Siddhpur,Wheat,2690,3030,2860
Gujarat,Porbandar,Porbandar,Bajra(Pearl Millet/Cumbu),1850,1850,1850
Gujarat,Porbandar,Porbandar,Kabuli Chana(Chickpeas-White),9250,9250,9250
Gujarat,Porbandar,Porbandar,Methi(Leaves),10000,15000,12500
Gujarat,Porbandar,Porbandar,Onion,4000,5000,4500
Gujarat,Rajkot,Gondal(Veg.market Gondal),Cabbage,2500,3500,3000
Gujarat,Rajkot,Gondal(Veg.market Gondal),Guar,2500,5000,3750
Gujarat,Rajkot,Jasdan,Maize,2000,2950,2350
Gujarat,Rajkot,Jasdan,"Sesamum(Sesame,Gingelly,Til)",8500,12755,12000
Gujarat,Rajkot,Rajkot,Arhar (Tur/Red Gram)(Whole),7625,10175,8300
Gujarat,Rajkot,Rajkot,Bengal Gram(Gram)(Whole),6650,7375,7250
Gujarat,Rajkot,Rajkot,Black Gram (Urd Beans)(Whole),7555,8720,8125
Gujarat,Rajkot,Rajkot,Ground Nut Seed,7250,7700,7400
Gujarat,Rajkot,Rajkot,Wheat,2700,2900,2825
Gujarat,Rajkot,Rajkot(Veg.Sub Yard),Bottle gourd,1000,1500,1300
Gujarat,Sabarkantha,Himatnagar,Bengal Gram(Gram)(Whole),7050,7500,7275
Gujarat,Surat,Bardoli(Katod),Brinjal,2100,2850,2500
Gujarat,Surat,Surat,Banana - Green,1000,1800,1400
Gujarat,Surat,Surat,Brinjal,1500,3000,2250
